seller_id,eligible_orders,late_orders,late_delivery_rate,dispatch_sla_breach_rate,median_processing_days,at_risk_order_value,platform_late_delivery_rate,priority_group
9646c3513289980f17226a2fc4720dbd,69,2,2.8985507246376812,1.4492753623188406,1.529965277777778,316.72,6.7730900798175599,Process Watch
b4a476fbd28de64b1e347abf9089366a,30,2,6.6666666666666667,6.6666666666666667,2.7513715277777777,311.54,6.7730900798175599,Process Watch
0ffa40d54288e4f3499b8780dd0f144f,33,4,12.1212121212121212,0E-20,1.5700694444444443,311.32,6.7730900798175599,Process Watch
066a6914e1ebf3ea95a216c73a986b91,66,2,3.0303030303030303,12.1212121212121212,2.1771354166666663,303.27,6.7730900798175599,Process Watch
a5cba26a62b8b4d0145b68b841e62e7f,53,1,1.8867924528301887,13.2075471698113208,3.033327546296296,302.66,6.7730900798175599,Process Watch
e333046ce6517bd8bb510291d44f0130,68,3,4.4117647058823529,1.4705882352941176,1.2008912037037036,302.22,6.7730900798175599,Process Watch
7d456afc660226829370f3173d14520c,55,2,3.6363636363636364,1.8181818181818182,1.096851851851852,296.48,6.7730900798175599,Process Watch
afe0067131b73e40875c9b6c10bd2e21,45,2,4.4444444444444444,20.0000000000000000,3.0624421296296296,288.08,6.7730900798175599,Process Watch
ac3508719a1d8f5b7614b798f70af136,101,2,1.9801980198019802,0.99009900990099009901,0.9538425925925926,287.96,6.7730900798175599,Process Watch
cab85505710c7cb9b720bceb52b01cee,201,4,1.9900497512437811,11.4427860696517413,1.9840277777777777,287.50,6.7730900798175599,Process Watch
dee656f0f566ed1aa85bd137c943f08f,92,4,4.3478260869565217,2.1739130434782609,1.0704456018518518,284.55,6.7730900798175599,Process Watch
5b179e9e8cc7ab6fd113a46ca584da81,34,2,5.8823529411764706,35.2941176470588235,3.244010416666667,283.20,6.7730900798175599,Process Watch
25e6ffe976bd75618accfe16cefcbd0d,106,3,2.8301886792452830,5.6603773584905660,1.1068981481481481,282.19,6.7730900798175599,Process Watch
fcb5ace8bcc92f75707dc0f01a27d269,59,2,3.3898305084745763,11.8644067796610169,3.197997685185185,282.18,6.7730900798175599,Process Watch
062ce95fa2ad4dfaedfc79260130565f,54,2,3.7037037037037037,20.3703703703703704,4.658113425925926,279.45,6.7730900798175599,Process Watch
827f8f69dfa529c561901c4f2e0f332f,91,6,6.5934065934065934,34.0659340659340659,4.642835648148148,266.79,6.7730900798175599,Process Watch
951e8cef368f09bb3f3d03c00ca4702c,62,4,6.4516129032258065,1.6129032258064516,1.451545138888889,265.05,6.7730900798175599,Process Watch
c6bda72e4dbf5c5866b13cb1810c6d03,59,2,3.3898305084745763,5.0847457627118644,0.9368981481481482,262.14,6.7730900798175599,Process Watch
289cdb325fb7e7f891c38608bf9e0962,109,2,1.8348623853211009,0.91743119266055045872,0.9887152777777778,261.62,6.7730900798175599,Process Watch
3ab971ce71839580d2ae5b4e40fe8044,35,2,5.7142857142857143,2.8571428571428571,1.3425868055555554,256.17,6.7730900798175599,Process Watch
db4350fd57ae30082dec7acbaacc17f9,136,5,3.6764705882352941,2.2058823529411765,1.5914814814814815,253.21,6.7730900798175599,Process Watch
98dac6635aee4995d501a3972e047414,89,4,4.4943820224719101,25.8426966292134831,2.750763888888889,252.78,6.7730900798175599,Process Watch
c013e57c075a06e5b5c48ee03c525719,42,2,4.7619047619047619,2.3809523809523810,0.9643518518518519,251.46,6.7730900798175599,Process Watch
744dac408745240a2c2528fb1b6028f3,78,1,1.2820512820512821,3.8461538461538462,1.0670717592592593,250.89,6.7730900798175599,Process Watch
8cbac7e12637ed9cffa18c7875207478,66,4,6.0606060606060606,6.0606060606060606,1.967025462962963,248.79,6.7730900798175599,Process Watch
3bdff180c7e1f6551a643b99c265a120,56,1,1.7857142857142857,1.7857142857142857,1.1392361111111111,245.84,6.7730900798175599,Process Watch
994f04b3718c2bab35c2adfa8afecd2a,47,3,6.3829787234042553,23.4042553191489362,3.2653703703703703,245.18,6.7730900798175599,Process Watch
3340ef1913fb70d28420f6ceb685c339,32,1,3.1250000000000000,9.3750000000000000,1.3240046296296297,243.98,6.7730900798175599,Process Watch
4a3ccda38b2129705f3fb522db62ca31,64,4,6.2500000000000000,14.0625000000000000,1.2696006944444445,239.58,6.7730900798175599,Process Watch
36a968b544695394e4e9d7572688598f,148,5,3.3783783783783784,20.2702702702702703,2.338130787037037,238.33,6.7730900798175599,Process Watch
537eb890efff034a88679788b647c564,158,6,3.7974683544303797,0.63291139240506329114,1.0421238425925927,238.28,6.7730900798175599,Process Watch
d98eec89afa3380e14463da2aabaea72,168,4,2.3809523809523810,5.3571428571428571,1.373778935185185,231.73,6.7730900798175599,Process Watch
cb3dd9ce66268c7a3ca7241ac70ab58c,48,2,4.1666666666666667,6.2500000000000000,4.4149768518518515,230.90,6.7730900798175599,Process Watch
2ff97219cb8622eaf3cd89b7d9c09824,87,3,3.4482758620689655,2.2988505747126437,0.9247337962962963,228.09,6.7730900798175599,Process Watch
f789d2c4f2c2eb38fc4373e7a4b35264,44,2,4.5454545454545455,2.2727272727272727,1.3675925925925927,226.99,6.7730900798175599,Process Watch
12b9676b00f60f3b700e83af21824c0e,133,1,0.75187969924812030075,0.75187969924812030075,4.238125,225.15,6.7730900798175599,Process Watch
8f119a0aee85c0c8fc534629734e94fd,75,3,4.0000000000000000,12.0000000000000000,3.2288136574074073,223.79,6.7730900798175599,Process Watch
a17f621c590ea0fab3d5d883e1630ec6,63,4,6.3492063492063492,3.1746031746031746,1.0650173611111111,222.92,6.7730900798175599,Process Watch
dbd66278cbfe1aa1000f90a217ca4695,85,3,3.5294117647058824,1.1764705882352941,0.6772337962962963,219.57,6.7730900798175599,Process Watch
33a6f4b1e7cdc205511e76ba1b6e0186,105,2,1.9047619047619048,1.9047619047619048,1.2423784722222222,219.47,6.7730900798175599,Process Watch
612170e34b97004b3ba37eae81836b4c,107,1,0.93457943925233644860,2.8037383177570093,4.122725694444444,217.22,6.7730900798175599,Process Watch
b4ffb71f0cb1b1c3d63fad021ecf93e1,143,3,2.0979020979020979,1.3986013986013986,1.0327314814814814,210.69,6.7730900798175599,Process Watch
f4aba7c0bca51484c30ab7bdc34bcdd1,108,6,5.5555555555555556,44.4444444444444444,2.6882407407407407,209.43,6.7730900798175599,Process Watch
0432ead42b6c8a0bdf68154add917fdf,82,2,2.4390243902439024,1.2195121951219512,0.9838483796296296,209.11,6.7730900798175599,Process Watch
58f1a6197ed863543e0136bdedb3fce2,42,1,2.3809523809523810,4.7619047619047619,2.7094444444444443,200.45,6.7730900798175599,Process Watch
b76dba6c951ab00dc4edf0a1aa88037e,157,5,3.1847133757961783,3.1847133757961783,1.2380324074074074,198.75,6.7730900798175599,Process Watch
0df3984f9dfb3d49ac6366acbd3bbb85,86,1,1.1627906976744186,2.3255813953488372,2.0517071759259258,194.91,6.7730900798175599,Process Watch
609e1a9a6c2539919b8205cf7c4e6ff0,87,1,1.1494252873563218,9.1954022988505747,1.4226331018518519,194.00,6.7730900798175599,Process Watch
4992e76a42cb3aad7a7047e0d3d7e729,56,3,5.3571428571428571,3.5714285714285714,0.8811342592592593,192.67,6.7730900798175599,Process Watch
6c177e38df6d3f34182b1f1d427231bf,53,1,1.8867924528301887,33.9622641509433962,6.0476273148148145,191.07,6.7730900798175599,Process Watch
dc8798cbf453b7e0f98745e396cc5616,35,2,5.7142857142857143,34.2857142857142857,4.370833333333334,188.02,6.7730900798175599,Process Watch
33a17d60c64393351ebf1ef860f4e0f2,43,1,2.3255813953488372,2.3255813953488372,2.293373842592593,186.04,6.7730900798175599,Process Watch
e26901d5ab434ce92fd9b5c256820a4e,197,3,1.5228426395939086,2.0304568527918782,2.1147569444444443,184.55,6.7730900798175599,Process Watch
b335c59ab742f751a85db9c411a86739,30,1,3.3333333333333333,26.6666666666666667,4.103559027777777,183.16,6.7730900798175599,Process Watch
0509040ea3fe50071181bbc359eb7738,87,4,4.5977011494252874,4.5977011494252874,1.2344560185185185,183.00,6.7730900798175599,Process Watch
ea67327e24487bdfac5fbfa37ea124df,32,1,3.1250000000000000,3.1250000000000000,1.0850462962962963,181.95,6.7730900798175599,Process Watch
870d0118f7a9d85960f29ad89d5d989a,45,2,4.4444444444444444,6.6666666666666667,1.7176967592592594,181.83,6.7730900798175599,Process Watch
4917cee8d902e13428c3ec4b1ca6f315,31,1,3.2258064516129032,19.3548387096774194,6.850104166666667,180.53,6.7730900798175599,Process Watch
530ec6109d11eaaf87999465c6afee01,94,1,1.0638297872340426,6.3829787234042553,0.8788541666666667,178.22,6.7730900798175599,Process Watch
cb8bcce248bb1fb274ba762d8b971456,66,1,1.5151515151515152,1.5151515151515152,1.066111111111111,176.23,6.7730900798175599,Process Watch
2a5b78b41cd05baeac8df54c6606b92c,46,1,2.1739130434782609,2.1739130434782609,0.9582581018518519,175.04,6.7730900798175599,Process Watch
0691148aee60ca47977c187804f935ae,47,1,2.1276595744680851,6.3829787234042553,1.1917997685185184,173.64,6.7730900798175599,Process Watch
